,No,page,nick,time,content,area,ip,length,against,agree,channel,hot,level,login_type,media_type,mid
13,14,1,euoowoffedk,2018-08-26 22:57:53,罚款少了点，应该至少100亿起步。,重庆万州,101.105.171.33,17,1535295473,15,cj,0,1,0,0,5B82BFF1-6569AB21-17D9B4D8C-917-8A2
14,15,1,呵呵一号2010,2018-08-26 22:16:45,你这是饮鸠止渴啊,山东青岛,124.135.18.237,8,1535293005,2,cj,0,1,0,0,5B82B64D-7C8712ED-3DB59680-917-809
15,16,1,最棒的幺儿,2018-08-26 22:14:47,这么多人命了，还整改个屁呀，不取缔滴滴这个黑车平台不足以平民愤，这绝不会是最后一例，难道过两天又像什么都没发生一样继续赚钱？问题的关键是，这就是一个典型的黑车平台，让黑车合法化，既扰乱了正常的公交秩序，又给犯罪分子提供了作案机会，这种平台本身就应该坚决取缔，还即将准备上市，个个都想上市捞钱，你让这个社会情何以堪。,重庆,183.228.50.171,157,1535292887,20,cj,0,0,0,0,5B82B5D6-B7E432AB-D45D7763-917-85C
16,17,1,呵呵一号2010,2018-08-26 22:09:47,你说的这句话才是真谛，不过与本文的评论无直接关系，都是间接关系，但问题的实质是：取消滴滴就没有犯罪了吗，出租车司机犯罪真正的原因是滴滴吗？没有滴滴的出租车司机就不会犯这样的罪呢？或者说没有弟弟的出租车司机是不是跟有滴滴的出租车司机犯罪相比犯罪率会更高呢？这才是问题的关键，不要一出是就怨滴滴，出事者家属情绪激动是可以理解的，评论里面的很多我个人觉得还是很客观的！打击犯罪，我坚决同意，但是也要保护无辜，不要伤及无辜，与一切犯罪分子作斗争！,山东青岛,124.135.18.237,219,1535292587,1,cj,0,2,0,0,5B82B4AB-7C8712ED-3DB59680-917-86D
17,18,1,手机用户3291171731,2018-08-26 22:09:06,近期一年有吗？,河南郑州,115.57.134.109,7,1535292546,3,cj,0,2,0,0,5B82B482-7339866D-C42B4B93-917-8C6
18,19,1,手机用户3291171731,2018-08-26 22:08:14,你可以去查下，现在网络这样发达，今年有没出租车司机杀人的？出租车的数量和服务比滴滴高吧，但是出事率低于滴滴,河南郑州,115.57.134.109,53,1535292494,1,cj,0,3,0,0,5B82B44E-7339866D-C42B4B93-917-806
19,20,1,微浪金属,2018-08-26 22:04:01,取缔滴滴，社会危害必须予以重罚，处罚10个亿，赔偿受害者1个亿，并建立社会公益基金，后台运营合并警方监控，建立警方监控管理页面，强化从业核准审查扩大到家族审核，有前科病史均封杀禁入；高管职责风控，并入年度审核，凡涉及社会危害均并入舆情及消年金工资等，进入诚信体系。不杀不足以改变，,北京,123.114.42.109,140,1535292241,9,cj,0,0,0,0,5B82B351-7B722A6D-3E91D7D1-917-9BB
20,21,2,盐水棒冰,2018-08-26 21:24:23,那你说有几起？,上海,101.80.155.126,7,1535289863,0,cj,0,4,0,0,5B82AA06-65509B7E-62880C04-917-82E
21,22,2,盐水棒冰,2018-08-26 21:21:27,请拿出出租车和黑车司机每年的刑案发生的数字，不然请不要这么不负责任的说话。将心比心，一个不太恰当的假设：假设被害人是你的家人，你还会这么说吗？,上海,101.80.155.126,71,1535289687,2,cj,0,2,0,0,5B82A957-65509B7E-62880C04-917-8D2
22,23,2,舜山南峰,2018-08-26 21:03:41,滴滴顺风车------已经成为奸杀平台。取消已经成为当务之急！,河南郑州,115.60.142.67,31,1535288621,23,cj,0,0,0,0,5B82A52D-733C8E43-DAE13A25-917-9E4
23,24,2,天下古泉,2018-08-26 21:00:13,还是永远关闭吧,山东烟台,111.37.183.40,7,1535288413,4,cj,0,0,0,0,5B82A45D-6F25B728-A1D334CF-917-856
24,25,2,反弧线1987,2018-08-26 20:50:59,这样的公司该倒闭～,山西太原,1.68.26.112,9,1535287858,4,cj,0,0,1,0,5B82A232-1441A70-A7AA16A7-917-8BC
25,26,2,广阔天地1,2018-08-26 20:47:40,让有担当的企业活下去，让不能担当，屡次出错的出局，就这么简单,山东临沂,112.9.216.191,30,1535287660,2,cj,0,1,0,0,5B82A16C-7009D8BF-166734532-917-89D
26,27,2,2568lgp,2018-08-26 20:06:33,说一千道一万都没用，彻底封杀滴滴，让滴滴倒闭关门才是正道！,山东临沂,221.2.106.18,29,1535285193,4,cj,0,0,0,0,5B8297C9-DD026A12-1701C00D3-917-832
27,28,2,骋尘飞,2018-08-26 20:02:02,这次事件滴滴公司的责任固然不可推卸，但这个女孩的求救对象-----她的朋友也真不咋地，都喊救命了居然不报警，只联系滴滴公司客服，猪队友害死人啊。,河南南阳,182.126.139.86,72,1535284922,6,cj,0,0,0,0,5B8296BA-B67E8B56-609EAFB3-917-85D
28,29,2,陈殷鞋垫,2018-08-26 20:00:47,就事论事：请问哪种行业没有出现过事故？走路都会被发生事故。。。。。。难度要禁止走路？如果要说元凶，那车是最大元凶？车的事故是最多的，难道要禁止开车？人人走路就好了。。。。。。事故和风险每种行业都有的，坐车有车祸，坐飞机也有空难，坐火车也会脱轨，坐公交发生偷窃或者火灾等等。。。。。。事故和风险的话，要从几率来说，每天全国滴滴顺风车这么多人坐，是出租车的几千几万倍，有人说出租车风险低不是睁眼说瞎话吗？从人数看，风险事故几率可以说是相当低的。。。。。。。事故几率可能比走路还要低。。。。。。当然，话说回来，不是说放纵滴滴，滴滴需要担责，滴滴确实要加强管理，进一步做到完善。。。。。。,广东惠州,121.11.191.58,290,1535284847,2,cj,0,0,0,0,5B82966D-790BBF3A-5209DD08-917-8FA
29,30,2,骋尘飞,2018-08-26 19:59:00,应该彻底关闭滴滴公司业务，把出租车行业正规起来，上岗一律要经过严格的培训，和后期的定期培训，最大限度的杜绝惨案的发生。,河南南阳,182.126.139.86,59,1535284740,5,cj,0,0,0,0,5B829603-B67E8B56-609EAFB3-917-918
30,31,2,京口东乡居士,2018-08-26 19:54:42,这个“取消”也可能是司机干的！以混淆视听！,上海,211.161.245.81,21,1535284482,0,cj,0,2,0,0,5B829502-D3A1F551-639C3999-917-96B
31,32,2,十页拉拉,2018-08-26 19:16:48,正解，上次公司完全没受到刑事连带责任，这次再不来点责任，以后他们会继续搞，犯罪成本这么低,江西南昌,182.101.21.108,44,1535282208,6,cj,0,1,0,0,5B828C20-B665156C-183E06B21-917-88B
32,33,2,gellenjialin,2018-08-26 19:02:25,感觉记者和林女士的神补刀，滴滴活该,北京,114.245.203.41,17,1535281345,4,cj,0,0,0,0,5B8288C1-72F5CB29-A0141179-917-88D
33,34,2,御兰亭,2018-08-26 18:48:15,说一千道一万都没用，彻底封杀滴滴，让滴滴倒闭关门才是正道！,云南昆明,14.204.127.132,29,1535280495,17,cj,0,0,0,0,5B82856F-ECC7F84-9A53415C-917-832
34,35,2,chenyb7749,2018-08-26 18:28:04,可以制定法律,上海,180.159.225.164,6,1535279284,4,cj,0,2,0,0,5B8280B4-B49FE1A4-4EFDF1AD-917-88F
35,36,2,chenyb7749,2018-08-26 18:26:45,管理公司？有能力吗？,上海,180.159.225.164,10,1535279205,5,cj,0,0,0,0,5B828065-B49FE1A4-4EFDF1AD-917-930
36,37,2,温侯无双,2018-08-26 18:14:27,血滴子,辽宁沈阳,59.44.40.224,3,1535278467,3,cj,0,0,0,0,5B827D83-3B2C28E0-709A9C5D-917-8DA
37,38,2,山水就是海,2018-08-26 18:12:28,i死者竟然取消顺风车还上车  这是教训啊,四川成都,171.221.144.136,20,1535278348,1,cj,0,1,0,0,5B827D0B-ABDD9088-E50882C7-917-8C5
38,39,2,猴赛雷_58289,2018-08-26 18:09:13,水军你妈装什么傻，分清避免和不可避免是唯一的标准，这次温州女孩的死本来可以避免，滴滴要承担刑事责任,福建,112.5.242.243,49,1535278153,1,cj,0,1,0,0,5B827C48-7005F2F3-15CF5C162-917-9D1
39,40,2,猴赛雷_58289,2018-08-26 18:03:37,跳楼是自己想不开，滴滴是犯罪，只要拉黑人查就可避免,福建,112.5.242.243,25,1535277817,2,cj,0,1,0,0,5B827AF9-7005F2F3-15CF5C162-917-889
40,41,3,maksss12,2018-08-26 17:53:08,一个企业是难以也不应该承担社会治安的重担,陕西西安,1.81.103.21,20,1535277188,4,cj,0,0,0,0,5B827882-1516715-7DBA9D87-917-8E3
41,42,3,用户2529742354,2018-08-26 17:46:39,学美国永远学个四不像,北京,114.243.159.193,10,1535276799,5,cj,0,0,0,0,5B827700-72F39FC1-18A1DACD3-917-83B
42,43,3,lwh50645,2018-08-26 17:20:29,一帮人出了事瞎起哄，看热闹不嫌事大，人性都这样，你要是滴滴你怎么管，企业员工杀了人企业就得破产咯，那富士康那么多跳楼郭台铭是不是要几百次了,湖北武汉,183.95.48.46,69,1535275228,10,cj,0,0,0,0,5B8270DC-B75F302E-133E41997-917-83E
43,44,3,股播,2018-08-26 17:07:49,立即取缔。,河南许昌,223.90.199.62,5,1535274469,1,cj,0,1,0,0,5B826DE5-DF5AC73E-A16FFEC3-917-86C
44,45,3,暗思想,2018-08-26 17:06:00,顺风车，和网约车本身都是非法的。都应该取消。前面违法的都应该重罚，赔偿守法的出租车企业损失。等法律完善了，再试点运营，并要做好和原有出租车公司的协调。保护守法出租车企业的利益。,上海,223.166.78.12,88,1535274360,3,cj,0,0,0,0,5B826D78-DFA64E0C-15826CFAE-917-9B3
45,46,3,3dddd_28038,2018-08-26 16:59:40,应该按用户数潜在的损害来赔偿！,贵州,117.188.25.114,15,1535273980,1,cj,0,0,0,0,5B826BFC-75BC1972-14C372838-917-92F
46,47,3,用户6172265234,2018-08-26 16:51:51,推责是流氓们惨案之后惯用的手段之一。,湖南邵阳,36.157.75.203,18,1535273511,5,cj,0,0,0,0,5B826A26-249D4BCB-16FE54B12-917-83C
47,48,3,bj5v,2018-08-26 16:48:33,让嘀嘀的老总承担刑责于法无据，但是惩罚性赔款是应该有的，也是世界通行的做法——只是，以我们一向对资本宠爱有加的政策来说，基本上这种想法也是不现实的。,北京,123.125.153.84,74,1535273313,13,cj,0,1,0,0,5B826960-7B7D9954-170E235FC-917-8F5
48,49,3,山喜鹊燕八虎和蒙哥,2018-08-26 16:23:40,罚款啊，2千万起，看滴滴管不管。,广东广州,113.108.133.50,16,1535271820,0,cj,0,0,0,0,5B82638B-716C8532-4D181EEF-917-88E
49,50,3,炎黄子民曰,2018-08-26 16:18:17,美丽的小女孩啊，请你们留点神，长点心，年轻的生命就这样陨落了，真是可惜啊，悲痛啊。 但谁又能具备孙悟空的火眼金睛啊，就是具备了，不是还有唐僧从中作梗呢吗，什么时候能够实现邪不压正啊？让悲剧不再上演，人人有责！,辽宁沈阳,101.246.184.153,104,1535271497,5,cj,0,0,0,0,5B826249-65F6B899-A65A4993-917-856
50,51,3,十字架上的马里奥,2018-08-26 16:10:10,滴滴应该承担巨额的赔偿责任。但也不要无限上纲。与其把犯罪全部归咎于滴滴，还不如思考一下，两起命案中为什么两个不到三十的男性凶犯会犯案。某些行业有控制地适当合法化，给荷尔蒙一个出口，可以有效地降低这种不计后果的见色起意型的犯罪。,浙江杭州,115.197.141.37,113,1535271010,3,cj,0,0,0,0,5B826062-73C58D25-53ACE617-917-8AC
51,52,3,秋叶随风飘荡,2018-08-26 16:01:47,乱说，出了事一样的得处罚判刑。,重庆,106.84.139.92,15,1535270507,0,cj,0,1,0,0,5B825E6A-6A548B5C-70B7B17A-917-879
52,53,3,用户6515439432,2018-08-26 15:51:33,滴滴公司唯利是图，不顾社会责任，有关部门应该对其严查、严惩！！,浙江嘉兴,61.153.225.94,31,1535269893,9,cj,0,0,0,0,5B825C05-3D99E15E-18459B748-917-8A9
53,54,3,飞翔-Stuart,2018-08-26 15:50:22,以后有出租司机制造血案（好像也不少），也请取缔出租行业，谢谢！,江苏南通,112.0.186.142,31,1535269822,2,cj,0,0,0,0,5B825BBD-7000BA8E-9AC2B855-917-847
54,55,3,black_11998,2018-08-26 15:36:11,弱弱问一下，如果罪犯用刀杀人，是否要禁止一切刀的生产和销售？,湖北武汉,119.36.54.8,30,1535268971,6,cj,0,0,0,0,5B82586C-77243608-150790279-917-79E
55,56,3,微博网友_99947702,2018-08-26 15:16:19,因为滴滴根本没有对前一天的投诉作出任何调查和处理，导致了第2天的受害人死亡的后果，这是明显的公司责任，不要洗地了，大家指责滴滴不是因为凶手是滴滴司机，而是因为滴滴没有尽自己的管理义务，当然，好像滴滴根本不认为自己有管理义务，它认为司机是“客户”呢，所以要保护“客户”的隐私信息，要是警察去出租车公司要司机的信息，去公交公司要司机的信息，会遇到滴滴这么傲慢的答复么，别的交通企业都是承运人，对乘客有安全保障义务，司机是他们的下属员工，司机的罪行就是公司的管理问题，公司要承担责任，但滴滴认为顺风车司机根本是自己的客户啊，人家不认为自己有责任约束管理司机，这性质就根本不一样了，风险也根本不一样了,北京,114.249.58.40,296,1535267779,5,cj,0,1,0,0,5B8253C2-72F93A28-418FDEB6-917-8B8
56,57,3,用户3628332767,2018-08-26 14:37:36,抄没凶手全部家产，杀掉凶手，。,山西太原,171.120.71.8,15,1535265456,3,cj,0,0,0,0,5B824AB1-AB784708-D843F6DF-917-944
57,58,3,行者--阿勇哥,2018-08-26 14:27:24,为什么滴滴这种网约车--不受法律制裁和制约！！属于法外中国企业？非常震惊！法律到达不了的范围！[衰],浙江杭州,115.199.147.78,50,1535264844,14,cj,0,0,0,0,5B82484C-73C7934E-54673C81-917-89E
58,59,3,漫步天下9658,2018-08-26 14:21:19,打击犯罪的重拳变轻拳的结果。,内蒙古呼和浩特,36.102.234.24,14,1535264479,7,cj,0,0,0,0,5B8246DF-2466EA18-15D23B99D-917-91F
59,60,3,奥爸_吗,2018-08-26 14:17:25,不否认滴滴出事，自身有问题，但是犯罪都有一个概率，也就是说，不管什么职业，什么岗位，只要人数达到一定基数，就一定会有一定的机率出现一些害群之马，在校学生一年也能犯不少事呢，大家拿出数据来说话，如果全国所有出租车司机的犯案率和恶性案件率都低于滴滴，那滴滴关门吧，如果反过来，是不是全国的出租车公司全部关门！,安徽淮南,114.101.172.85,152,1535264245,45,cj,0,2,0,0,5B8245F5-7265AC55-98F8D057-917-7DF
60,61,4,用户5659583440,2018-08-26 14:13:19,高速公路，就是一个类似滴滴的“平台”！高速公路上车祸死人，难道要废除高速公路（公司、业务）？,浙江杭州,115.199.146.162,46,1535263999,1,cj,0,0,0,0,5B8244FF-73C792A2-1515663D0-917-836
61,62,4,用户5659583440,2018-08-26 14:11:30,平台约车，至少可以给公安提供双方信息！！—— 其他的出租车、黄鱼车，能做到吗？出租车，就没有杀人案件了吗？两害相权取其轻，我们不能因噎废食！网约顺风车，还是“利远远大于弊”的！对谁都有好处的！不足之处，我们慢慢整改就行了。话说另一面，我要对那些要“多生孩子”的反计们说句话：犯事的滴滴司机，就是“多”生的！！,浙江杭州,115.199.146.162,154,1535263889,1,cj,0,0,0,0,5B824491-73C792A2-1515663D0-917-900
62,63,4,zx_haifeisi,2018-08-26 14:10:42,对头，不能因噎废食！这种网约车是值得肯定的。要加强的应该是——运营公司、司机、车辆的审核、监管，特别是日常行为管理、资格审核、车辆监管等等。然运营公司能真正负起责任、承担期责任！,四川成都,171.223.95.174,89,1535263842,3,cj,0,3,0,0,5B824461-ABDF5FAE-E7069386-917-8E5
63,64,4,plh145,2018-08-26 14:10:23,一切高科技的产品和报务都要服从于人类文明和进步，没有这个标准审核就不能推向市场！,浙江嘉兴,112.11.16.34,40,1535263823,3,cj,0,0,0,0,5B82444F-700B1022-15CDE3B4A-917-8F5
64,65,4,用户6003135103,2018-08-26 14:08:37,14亿多的人口啊， 顺风车模式是可以的， 因为在欧美日等发达国家，顺风车模式早在上世纪就流行，一般都是顺路，哪里会收钱？  14亿人口里面发生两起，这强奸罪在中国完全屡见不鲜，14亿人口里面，天天发生几百起完全是正常范围，  天天发生几百起命案也是正常范围， 大家要看清楚，14亿人口啊。,福建泉州,110.81.23.67,144,1535263717,1,cj,0,0,0,0,5B8243E5-6E511743-165D0927F-917-91C
65,66,4,爷爷奶奶个熊_622,2018-08-26 14:02:24,app加个一键报警很难吗，车号和定位都有，一些企业就是不见棺材不掉泪,广东珠海,119.132.56.218,34,1535263344,4,cj,0,0,0,0,5B824270-778438DA-BAD2FDC1-917-82C
66,67,4,酒杯199212,2018-08-26 14:00:21,十年两起也是有，更何况远不止两起。你是开出租车的吧,北京,221.222.54.127,25,1535263221,1,cj,0,3,0,0,5B8241F5-DDDE367F-174F3197B-917-832
67,68,4,金兰_90634,2018-08-26 13:57:12,所有驾驶员公安先审核,上海,58.34.16.173,10,1535263032,0,cj,0,0,0,0,5B824138-3A2210AD-16AD6973C-917-853
68,69,4,金兰_90634,2018-08-26 13:56:12,还不停业整顿？杀人公司,上海,58.34.16.173,11,1535262972,0,cj,0,0,0,0,5B8240FC-3A2210AD-16AD6973C-917-7E0
69,70,4,colinywz,2018-08-26 13:43:15,滴滴的确有错，但人不是滴滴杀的，不能上纲上线，全国那么多网约车司机，出几个败类也是正常的，这次媒体把矛头完全指向滴滴是有问题的，因为出租车司机公交车司机甚至民警杀人的案件在全国也不是没有，难道出租车公司公交公司公安局全部要承担责任？这次山东寿光水灾死那么多人，为什么把舆论全放在一个滴滴车杀人案件上？,上海,139.226.16.77,150,1535262195,10,cj,0,0,0,0,5B823DF4-8BE2104D-54F27CC5-917-85D
70,71,4,用户185****5641,2018-08-26 13:38:19,又一司机遇难！成都滴滴司机失联2个月后在一水渠被找到,重庆,123.145.86.167,26,1535261899,0,cj,0,0,2,0,5B823CCB-7B9156A7-5901B008BA9493F5-917-880
71,72,4,用户6568686520,2018-08-26 13:37:32,无法无天了，滴滴管理太垃圾,吉林,223.104.16.104,13,1535261852,6,cj,0,0,0,0,5B823C9C-DF681068-1878633B8-917-8BD
72,73,4,用户d52hucx9s7,2018-08-26 13:35:52,应该给与滴滴打车以重罚,湖南衡阳,36.157.238.80,11,1535261752,2,cj,0,0,0,0,5B823C38-249DEE50-12D0C7DAD-917-8A2
73,74,4,用户6568686520,2018-08-26 13:34:42,管理不严，这种悲剧还会有,吉林,223.104.16.104,12,1535261682,4,cj,0,0,0,0,5B823BF3-DF681068-1878633B8-917-955
74,75,4,及时雨创业社,2018-08-26 13:28:01,1、首先，尽快在客服部门成立一个危机事件处理部门，专门处理这种人身安全问题，该处客服人员经过特殊培训，转接后能根据流程比普通客服更迅捷的区分恶作剧还是可能有风险存在；这个部门是不能外包，以保障人员素质。（毕竟这种恶性事情发生概率也低，并不需要养很多人） 2、接到报警，后台查看司机过往品行如何，是否有此类被投诉，有的话则风险等级提高，处理等待立即向前排序；这些内网信息（如顾客年龄、相貌、司机被投诉次数等）通过一定机制即可判断事态是否严重，举例说，司机是年轻男子，女乘客又漂亮，行驶地段又偏僻，那么客服接警后恶性结果概率就会大概率发生。天天吹人工智能，这难道不就是该大显身手的场合吗？ 3、通过软件设置同时询问司机和乘客，限定时间内未回复则再次询问，每次询问间隔缩短；如果规定时间内未回复，说明危机等级又上升了；接下来电话同时致电司机和乘客，必要时让顾客提供自拍视频，避免已被挟制的可能性；（这等于告诉司机，滴滴公司已经关注他了，尽量打消犯罪念头） 4、如果双方电话均无法打通，进一步提高危机等级，尽快与当地警方联系，提供手机号、车牌号、车型等，之前及目前的GPS定位（警方其实也可以根据手机信号与电信部门合作侦测到大致区域范围），如果GPS定位不动了，说明犯罪可能正在进行，这样也许能赶在犯罪恶果出现前制止住。同样机制也可以用来保护司机。  设计风险应对流程的目的不是寄望彻底解决问题，而是将风险值一级级尽量降低到最小，同时将反应速度一步步提高到极限。,上海,61.172.212.166,627,1535261281,5,cj,0,0,0,0,5B823A5F-3DACD4A6-EE3688E5-917-8C6
75,76,4,朋友是后天的兄弟,2018-08-26 13:27:18,有的士和专车，还要滴滴做什么？,湖北武汉,59.172.172.222,15,1535261238,5,cj,0,0,0,0,5B823A35-3BACACDE-56D4B57B-917-951
76,77,4,2121南风,2018-08-26 13:23:06,出现问题就喊打喊杀，何其无知。不可否认，滴滴网约车无论从舒适快捷还是服务态度都要远远高于出租车。出租车司机就不犯罪？别的交通工具就没有刑事案件？干嘛啊?网约车不就是挡了一些人的财路么？家属的愤怒完全合理，滴滴承担责任完全合理，至于说滴滴就是犯罪平台，滴滴应该取缔这些都特么是无稽之谈。现在的出租行业从业者有几个讲职业道德的？公交车司机有几个态度好的？别的地方有没有不知道，至少大连没有！出租车疲劳驾驶致死行人的案例还少吗？公交司机和乘客大打出手的还少吗？为什么没有取缔出租车、公交车的言论出来呢？事物都有其两面性，滴滴客服有失误的地方，司机是个变态他的家人有没有责任？社会有没有责任？飞机机长吸烟导致机舱内缺氧的事有没有？为什么没有抨击航空公司，抨击民航的言论？无他，因为网约车是新兴事物，网约车是众矢之的，网约车动了别人的盘子，网约车方便了老百姓。最有一点最关键，就因为老百姓享受到了其他交通工具给不了的舒适快捷，所以网约车该死。凭什么你让老百姓乘车体验提升？凭什么你让老百姓享受好的服务？罪该万死！真特么讽刺！,辽宁大连,175.163.233.231,457,1535260986,7,cj,0,0,0,0,5B82393A-AFA3E9E7-186748CDA-917-918
77,78,4,大节千秋_riz,2018-08-26 13:21:09,出租车发生恶意杀害乘客的事故少很多！你这是在狡辩！,广东阳江,113.101.192.107,25,1535260869,5,cj,0,2,0,0,5B8238C5-7165C06B-4CA25FE1-917-90D
78,79,4,用户139****4813,2018-08-26 13:19:18,要刺激活够了可以找滴滴杀人 你值得拥有,上海,114.94.224.183,19,1535260757,2,cj,0,0,2,0,5B823855-725EE0B7-592680AF231702CF-917-7D3
79,80,4,宙哲188,2018-08-26 13:10:49,一切向钱看才是犯罪平台。,山西太原,183.200.4.14,12,1535260249,48,cj,0,1,0,0,5B823659-B7C8040E-55FD9B54-917-94C
80,81,5,F1的飞翔,2018-08-26 13:06:06,建议滴滴顺风车只对男性乘客服务，或者取消40岁一下女性乘顺风车,上海,116.225.115.238,31,1535259966,0,cj,0,0,0,0,5B82353D-74E173EE-808B06AE-917-850
81,82,5,珠穆拉玛羊,2018-08-26 12:40:23,个人认为 顺风车该取缔！,江西九江,117.40.170.86,12,1535258423,6,cj,0,1,0,0,5B822F37-7528AA56-58DDF5C8-917-88D
82,83,5,潜心看世界,2018-08-26 12:25:10,变着法儿的捞钱，给罪犯提供平台。,北京,221.221.190.208,16,1535257510,10,cj,0,0,0,0,5B822BA6-DDDDBED0-56ABABFD-917-891
83,84,5,重五是端阳,2018-08-26 12:22:22,十分简单的一件事情。就是软加里面加一个报警程序。他们就是舍不得加。法院应该来一次惩罚性处罚，让这个冷酷无情，毫无人性的公司赔偿受害者10亿元，他们就知道该怎么办了！,安徽蚌埠,223.242.102.206,82,1535257342,13,cj,0,0,0,0,5B822AFE-DFF266CE-3E6D00BC-917-92D
84,85,5,用户5967723432,2018-08-26 12:22:20,生于忧患，死于安乐。警钟长鸣。,江苏南京,36.149.130.78,15,1535257340,1,cj,0,0,0,0,5B822AFB-2495824E-163B43BA8-917-8EA
85,86,5,夺命哥_duu_5l6,2018-08-26 12:21:56,罚的不够重，一亿一次看他们重视不重视,浙江宁波,123.152.169.1,18,1535257316,3,cj,0,0,0,0,5B822AE4-7B98A901-565A48A7-917-85C
86,87,5,roah1545,2018-08-26 12:20:44,没事，我估计不出一个星期，滴滴就能让这个时间从所有新闻和论坛中消失。上次的空姐事件不就是这样？！,广东深圳,113.118.227.46,48,1535257244,3,cj,0,0,0,0,5B822A9B-7176E32E-67AA75F0-917-88F
87,88,5,华丽转身秀,2018-08-26 12:18:23,工商局去哪里了？为什么还不关闭顺风车？！！！,北京,119.90.83.237,22,1535257103,3,cj,0,0,0,0,5B822A0F-775A53ED-EB63FB30-917-877
